system,local,actors,pipelined,latency
centralized,False,False,False,0.0168612003326416
centralized,False,False,False,0.0017387866973876953
centralized,False,False,False,0.0016300678253173828
centralized,False,False,False,0.001314401626586914
centralized,False,False,False,0.001256704330444336
centralized,False,False,False,0.0011832714080810547
centralized,False,False,False,0.0013532638549804688
centralized,False,False,False,0.0012631416320800781
centralized,False,False,False,0.0012235641479492188
centralized,False,False,False,0.0012385845184326172
centralized,False,False,False,0.0012195110321044922
centralized,False,False,False,0.00368499755859375
centralized,False,False,False,0.0013265609741210938
centralized,False,False,False,0.0013132095336914062
centralized,False,False,False,0.0012171268463134766
centralized,False,False,False,0.0012407302856445312
centralized,False,False,False,0.0012156963348388672
centralized,False,False,False,0.0011682510375976562
centralized,False,False,False,0.0012764930725097656
centralized,False,False,False,0.0012977123260498047
centralized,False,False,False,0.0012812614440917969
centralized,False,False,False,0.0012149810791015625
centralized,False,False,False,0.0011324882507324219
centralized,False,False,False,0.0011813640594482422
centralized,False,False,False,0.00116729736328125
centralized,False,False,False,0.0011687278747558594
centralized,False,False,False,0.0026085376739501953
centralized,False,False,False,0.0013735294342041016
centralized,False,False,False,0.0012881755828857422
centralized,False,False,False,0.0012156963348388672
centralized,False,False,False,0.001149892807006836
centralized,False,False,False,0.0012683868408203125
centralized,False,False,False,0.0012125968933105469
centralized,False,False,False,0.0011670589447021484
centralized,False,False,False,0.0012009143829345703
centralized,False,False,False,0.0012865066528320312
centralized,False,False,False,0.0012481212615966797
centralized,False,False,False,0.0011556148529052734
centralized,False,False,False,0.0011742115020751953
centralized,False,False,False,0.0012023448944091797
centralized,False,False,False,0.0012176036834716797
centralized,False,False,False,0.0011930465698242188
centralized,False,False,False,0.0011670589447021484
centralized,False,False,False,0.0011820793151855469
centralized,False,False,False,0.0012481212615966797
centralized,False,False,False,0.00434112548828125
centralized,False,False,False,0.0013861656188964844
centralized,False,False,False,0.001371145248413086
centralized,False,False,False,0.0012972354888916016
centralized,False,False,False,0.0013034343719482422
centralized,False,False,False,0.026783466339111328
centralized,False,False,False,0.004177093505859375
centralized,False,False,False,0.0013556480407714844
centralized,False,False,False,0.0012383460998535156
centralized,False,False,False,0.0011947154998779297
centralized,False,False,False,0.0012106895446777344
centralized,False,False,False,0.0012269020080566406
centralized,False,False,False,0.0011641979217529297
centralized,False,False,False,0.0010814666748046875
centralized,False,False,False,0.0012345314025878906
centralized,False,False,False,0.001157522201538086
centralized,False,False,False,0.001146078109741211
centralized,False,False,False,0.0011012554168701172
centralized,False,False,False,0.001165151596069336
centralized,False,False,False,0.0011699199676513672
centralized,False,False,False,0.0011227130889892578
centralized,False,False,False,0.0010724067687988281
centralized,False,False,False,0.0010883808135986328
centralized,False,False,False,0.0012602806091308594
centralized,False,False,False,0.0011720657348632812
centralized,False,False,False,0.0011212825775146484
centralized,False,False,False,0.0011742115020751953
centralized,False,False,False,0.0011355876922607422
centralized,False,False,False,0.0011000633239746094
centralized,False,False,False,0.0011730194091796875
centralized,False,False,False,0.0012192726135253906
centralized,False,False,False,0.0011248588562011719
centralized,False,False,False,0.001211404800415039
centralized,False,False,False,0.0012083053588867188
centralized,False,False,False,0.0011668205261230469
centralized,False,False,False,0.0011560916900634766
centralized,False,False,False,0.0011551380157470703
centralized,False,False,False,0.00115966796875
centralized,False,False,False,0.0011584758758544922
centralized,False,False,False,0.001131296157836914
centralized,False,False,False,0.0011322498321533203
centralized,False,False,False,0.0011873245239257812
centralized,False,False,False,0.0011463165283203125
centralized,False,False,False,0.0011410713195800781
centralized,False,False,False,0.0011477470397949219
centralized,False,False,False,0.0011365413665771484
centralized,False,False,False,0.0011594295501708984
centralized,False,False,False,0.0011391639709472656
centralized,False,False,False,0.0011749267578125
centralized,False,False,False,0.0012123584747314453
centralized,False,False,False,0.0012257099151611328
centralized,False,False,False,0.0011484622955322266
centralized,False,False,False,0.0011560916900634766
centralized,False,False,False,0.0011286735534667969
centralized,False,False,False,0.0011625289916992188
centralized,False,False,False,0.001123666763305664
centralized,False,False,False,0.0011203289031982422
centralized,False,False,False,0.0011124610900878906
centralized,False,False,False,0.0011637210845947266
centralized,False,False,False,0.0011715888977050781
centralized,False,False,False,0.0011403560638427734
centralized,False,False,False,0.0011565685272216797
centralized,False,False,False,0.0011355876922607422
centralized,False,False,False,0.0011153221130371094
centralized,False,False,False,0.0011262893676757812
centralized,False,False,False,0.0010998249053955078
centralized,False,False,False,0.0011284351348876953
centralized,False,False,False,0.0011560916900634766
centralized,False,False,False,0.0011539459228515625
centralized,False,False,False,0.0011377334594726562
centralized,False,False,False,0.0011372566223144531
centralized,False,False,False,0.0011343955993652344
centralized,False,False,False,0.0011289119720458984
centralized,False,False,False,0.0011301040649414062
centralized,False,False,False,0.0011141300201416016
centralized,False,False,False,0.00112152099609375
centralized,False,False,False,0.00122833251953125
centralized,False,False,False,0.0011534690856933594
centralized,False,False,False,0.001146554946899414
centralized,False,False,False,0.0011324882507324219
centralized,False,False,False,0.0011508464813232422
centralized,False,False,False,0.001173257827758789
centralized,False,False,False,0.001238107681274414
centralized,False,False,False,0.001157999038696289
centralized,False,False,False,0.0011830329895019531
centralized,False,False,False,0.0011875629425048828
centralized,False,False,False,0.0011737346649169922
centralized,False,False,False,0.0011820793151855469
centralized,False,False,False,0.0011286735534667969
centralized,False,False,False,0.001340627670288086
centralized,False,False,False,0.0012040138244628906
centralized,False,False,False,0.0011780261993408203
centralized,False,False,False,0.0011637210845947266
centralized,False,False,False,0.001199483871459961
centralized,False,False,False,0.001238107681274414
centralized,False,False,False,0.001188039779663086
centralized,False,False,False,0.0011370182037353516
centralized,False,False,False,0.0010983943939208984
centralized,False,False,False,0.0011196136474609375
centralized,False,False,False,0.001140594482421875
centralized,False,False,False,0.0010802745819091797
centralized,False,False,False,0.0011060237884521484
centralized,False,False,False,0.0012640953063964844
centralized,False,False,False,0.0012123584747314453
centralized,False,False,False,0.0011584758758544922
centralized,False,False,False,0.0011658668518066406
centralized,False,False,False,0.0011267662048339844
centralized,False,False,False,0.0011322498321533203
centralized,False,False,False,0.0010859966278076172
centralized,False,False,False,0.0011048316955566406
centralized,False,False,False,0.0011394023895263672
centralized,False,False,False,0.0011653900146484375
centralized,False,False,False,0.0011451244354248047
centralized,False,False,False,0.0011448860168457031
centralized,False,False,False,0.00109100341796875
centralized,False,False,False,0.0012116432189941406
centralized,False,False,False,0.0011436939239501953
centralized,False,False,False,0.0010972023010253906
centralized,False,False,False,0.0010912418365478516
centralized,False,False,False,0.0011627674102783203
centralized,False,False,False,0.0011653900146484375
centralized,False,False,False,0.0011303424835205078
centralized,False,False,False,0.0011408329010009766
centralized,False,False,False,0.0011968612670898438
centralized,False,False,False,0.001130819320678711
centralized,False,False,False,0.0011038780212402344
centralized,False,False,False,0.0011138916015625
centralized,False,False,False,0.0011451244354248047
centralized,False,False,False,0.001219034194946289
centralized,False,False,False,0.0011408329010009766
centralized,False,False,False,0.0012030601501464844
centralized,False,False,False,0.0011677742004394531
centralized,False,False,False,0.0011467933654785156
centralized,False,False,False,0.001123666763305664
centralized,False,False,False,0.0010766983032226562
centralized,False,False,False,0.0011043548583984375
centralized,False,False,False,0.0010671615600585938
centralized,False,False,False,0.0011794567108154297
centralized,False,False,False,0.0011107921600341797
centralized,False,False,False,0.0011973381042480469
centralized,False,False,False,0.0011298656463623047
centralized,False,False,False,0.0011417865753173828
centralized,False,False,False,0.0011553764343261719
centralized,False,False,False,0.00115203857421875
centralized,False,False,False,0.0011265277862548828
centralized,False,False,False,0.0011320114135742188
centralized,False,False,False,0.0011556148529052734
centralized,False,False,False,0.0011379718780517578
centralized,False,False,False,0.0011293888092041016
centralized,False,False,False,0.0010998249053955078
centralized,False,False,False,0.0010991096496582031
centralized,False,False,False,0.00115203857421875
centralized,False,False,False,0.0011372566223144531
centralized,False,False,False,0.0010879039764404297
centralized,False,False,False,0.0010938644409179688
centralized,False,False,False,0.0011649131774902344
centralized,False,False,False,0.001111745834350586
centralized,False,False,False,0.001116037368774414
centralized,False,False,False,0.0010998249053955078
centralized,False,False,False,0.0011119842529296875
centralized,False,False,False,0.0011005401611328125
centralized,False,False,False,0.0010912418365478516
centralized,False,False,False,0.0011146068572998047
centralized,False,False,False,0.0011386871337890625
centralized,False,False,False,0.001123189926147461
centralized,False,False,False,0.0011181831359863281
centralized,False,False,False,0.001142263412475586
centralized,False,False,False,0.0011475086212158203
centralized,False,False,False,0.0011136531829833984
centralized,False,False,False,0.0011026859283447266
centralized,False,False,False,0.0011224746704101562
centralized,False,False,False,0.0011243820190429688
centralized,False,False,False,0.0011181831359863281
centralized,False,False,False,0.001149892807006836
centralized,False,False,False,0.001123189926147461
centralized,False,False,False,0.001161813735961914
centralized,False,False,False,0.0011510848999023438
centralized,False,False,False,0.0011317729949951172
centralized,False,False,False,0.0011403560638427734
centralized,False,False,False,0.0011410713195800781
